Writing	Readings	Meanings
感染症	かんせんしょう	[n.] infectious disease; infection
漁港	ぎょこう	[n.] fishing harbour; fishing harbor
漁業	ぎょぎょう	[n.; no-n.] fishing (industry)
組合	くみあい	[n.] association; union; guild
協同組合	きょうどうくみあい	[n.; no-n.] cooperative; partnership
教授	きょうじゅ	[n.; suru; no-n.] professor // [n.] teaching; instruction
計算	けいさん	[n.; suru] calculation; reckoning; count // [n.] forecast
予想	よそう	[n.; suru; no-n.] expectation; anticipation; prediction; forecast; conjecture
癌	がん,ガン	[n.; us. kana] cancer
乳癌	にゅうがん	[n.] breast cancer
映画祭	えいがさい	[n.] film festival
東南	とうなん,ひがしみなみ	[n.] south-east
東北	とうほく,ひがしきた	[n.] north-east // [n.] Tohoku (northernmost six prefectures of Honshu)
西北	せいほく,にしきた	[n.] north-west
西南	せいなん,にしみなみ	[n.] south-west
南東	なんとう,みなみひがし	[n.; no-n.] southeast
北東	ほくとう,きたひがし	[n.; no-n.] northeast
北西	ほくせい	[n.; no-n.] northwest
南西	なんせい,みなみにし	[n.; no-n.] southwest
国際交流	こくさいこうりゅう	[n.] international exchange
記者	きしゃ	[n.; no-n.] reporter
材料	ざいりょう	[n.] ingredients; material
意見	いけん	[n.; suru; no-n.] opinion; view; comment
水族館	すいぞくかん,すいぞっかん	[n.] aquarium
倒す	こかす	[v5su.; vt.] to throw down; to bring down; to blow down; to fell; to knock down; to set (something) down on its side; to turn (something) on its side // [n.] to kill; to defeat; to beat // [n.] to overthrow; to trip up; to ruin // [n.] to leave unpaid; to cheat // [v4su.; vt.; arch.] to knock down; to knock over
社会主義	しゃかいしゅぎ	[n.; no-n.] socialism
ミサイル		[n.] missile
注目	ちゅうもく	[n.; suru] notice; attention; observation
城	き	[n.] castle // [suffix] castle (in place names) // [n.] fortress (surrounded by a wall, moat, etc.)
防災	ぼうさい	[n.] disaster prevention
高知県	こうちけん	[n.] Kouchi (Kochi) prefecture (Shikoku)
黒潮	くろしお	[n.] Japan Current; Kuroshio Current
議長	ぎちょう	[n.] chairman; speaker (e.g. of assembly); president (e.g. of council, senate, etc.); moderator (e.g. of a newsgroup)
宣言	せんげん	[n.; suru] declaration; proclamation; announcement
確り	しっかり	[adv.; to-adv.; suru; us. kana; ono.] tightly (holding on); firmly; securely // [us. kana; ono.] strongly (built); solidly; sturdily; steadily // [us. kana; ono.] properly; well; sufficiently; hard (working, etc.); fully; completely // [us. kana; ono.] reliably; dependably; levelheadedly; shrewdly; wisely; cleverly
容疑	ようぎ	[n.; sufn.] suspicion; charge
容疑者	ようぎしゃ	[n.] suspect (person)
覚醒剤	かくせいざい	[n.] stimulant (e.g. psychoactive drugs like methamphetamine, ritalin, etc.)
疑い	うたがい	[n.] doubt; question; uncertainty; skepticism; scepticism; suspicion; distrust
逮捕	たいほ	[n.; suru] arrest; apprehension; capture
逮捕される	たいほされる	[v1.] to be arrested
禁止	きんし	[n.; suru] prohibition; inhibition; ban
尿	にょう,ゆばり,いばり,ゆまり,ばり,しい,しし,しと	[n.] urine
飛鳥	ひちょう	[n.] flying bird
香港	ほんこん,ホンコン	[n.] Hong Kong; Hongkong
新潟県	にいがたけん	[n.] Niigata Prefecture (Hokuriku area)
農場	のうじょう	[n.] farm (agriculture)
型	かた,がた	[n.] model; type (e.g. of machine, goods, etc.) // [n.] type; style; pattern // [n.] mold (mould); template; model // [n.] kata (standard form of a movement, posture, etc. in martial arts, sport, etc.) // [n.] form (i.e. customary procedure) // [n.] size (i.e. clothing, shoes) // [obscure] (taxonomical) form
殺す	ころす	[v5su.; vt.] to kill
以内	いない	[n.; sufn.] within; inside of; less than
家鴨	あひる,アヒル	[n.; us. kana] domestic duck
日光	にっこう	[n.] sunlight
東照宮	とうしょうぐう	[n.] Toshogu Shrine
彫刻	ちょうこく	[n.; suru] carving; engraving; sculpture
江戸時代	えどじだい	[n.] Edo period (1603-1868 CE)
国宝	こくほう	[n.] national treasure
絵の具	えのぐ	[n.] paint; coloring materials; colors; colours
取れる	とれる	[v1.; vi.; vt.] to come off; to be removed // [n.] (of pain, a fever, etc.) to disappear // [n.] to be caught; to be harvested // [n.] to be interpreted (as); to be taken as // [n.] (of balance, etc.) to be attained // [n.] to be obtainable
緊張	きんちょう	[n.; suru] tension; mental strain; nervousness
態度	たいど	[n.; no-n.] attitude; manner; behaviour
争い	あらそい	[n.] dispute; strife; quarrel; dissension; conflict; rivalry; contest
火事	かじ	[n.] fire; conflagration
製品	せいひん	[n.] manufactured goods; finished goods; product
器具	きぐ	[n.] utensil; apparatus; implement; device; gadget
石油	せきゆ	[n.] oil; petroleum; kerosene
灯油	とうゆ	[n.] lamp oil; kerosene
零れる	こぼれる	[v1.; vi.; us. kana] to spill; to fall out of; to overflow // [n.] to peek through; to become visible (although normally not) // [n.] to escape (of a smile, tear, etc.)
火がつく	ひがつく	[v5ku.] to catch fire; to provoke; to catch fire from; to be ignited
干す	ほす	[v5su.; vt.] to air; to dry; to desiccate // [n.] to drain (off) // [n.] to drink up // [n.] to deprive of a role, job, etc. (usu. in the passive)
燃える	もえる	[v1.; vi.] to burn; to get fired up
議会	ぎかい	[n.] congress; parliament; diet; legislative assembly
与党	よとう	[n.; no-n.] ruling party; government party; party in power; government
野党	やとう	[n.; no-n.] opposition party; political opposition; opposition
政治	せいじ	[n.] politics; government
混乱	こんらん	[n.; suru] disorder; chaos; confusion; mayhem
方法	ほうほう	[n.] method; process; manner; way; means; technique
世論	よろん,せろん	[n.] public opinion
調査	ちょうさ	[n.; suru] investigation; examination; inquiry; enquiry; survey
世論調査	よろんちょうさ,せろんちょうさ	[n.] public opinion poll
大会	たいかい	[n.; no-n.] convention; tournament; mass meeting; rally
優勝	ゆうしょう	[n.; suru] overall victory; championship
監督	かんとく	[n.; suru; no-n.] supervision; control; superintendence; direction // [n.] director; superintendent; supervisor; coach; foreman; manager; overseer; controller; boss
異常	いじょう	[adjn..; n.] strangeness; abnormality; disorder
競技	きょうぎ	[n.; suru; no-n.] game; match; contest
組織	そしき,そしょく	[n.; suru] organization; organisation // [n.] structure; construction // [n.] tissue // [n.] system
委員会	いいんかい	[n.] committee; commission; board; panel; committee meeting
水上	みなかみ	[n.] aquatic; on the water // [n.] headwaters; source
水上競技	すいじょうきょうぎ	[n.] water sports
結果	けっか	[advn.; tempn.] result; consequence; outcome; effect // [n.; suru] coming to fruition; bearing fruit
練習	れんしゅう	[n.; suru] practice; practising
水泳	すいえい	[n.; suru; no-n.] swimming
有明	ありあけ	[n.] dawn (sometimes esp. in ref. to the 16th day of the lunar month onward)
神奈川県	かながわけん	[n.] Kanagawa prefecture (Kanto area)
覆う	おおう	[v5u.; vt.] to cover; to hide; to conceal; to wrap; to disguise
原子	げんし	[n.] atom
核	さね	[n.; no-n.] pit (of a fruit); stone // [n.] core // [n.; prefn.] nucleus; nuclear // [n.] nuclear weaponry // [n.; obscure] pit (of a fruit); stone // [n.] core // [n.] tongue (piece of wood used to connect two boards) // [n.] clitoris
原子核	げんしかく	[n.; no-n.] nucleus (atomic)
原子炉	げんしろ	[n.] atomic reactor; nuclear reactor
発電	はつでん	[n.; suru; no-n.] generation (e.g. power) // [n.; suru; obsolete] sending a telegram; telegraphing
発電機	はつでんき	[n.] dynamo; power generator
放射能	ほうしゃのう	[n.] radioactivity
料理	りょうり	[n.; suru] cooking; cookery; cuisine // [n.] dealing with something; handling; administration; management
食事	しょくじ	[n.] meal // [suru] to eat
不正	ふせい	[adjn..; n.] injustice; unfairness; iniquity; impropriety; irregularity; dishonesty; illegality; fraud
経済	けいざい	[n.; suru] economics; business; finance; economy
新聞社	しんぶんしゃ	[n.] newspaper company
警察	けいさつ	[n.; no-n.] police // [abbr.] police officer // [abbr.] police station
押切	おしきり	[n.] straw cutter; short mane // [n.] pressing and cutting
携帯電話	けいたいでんわ	[n.; no-n.] mobile telephone; cellular telephone
女優	じょゆう	[n.; no-n.] actress
生産	せいざん	[n.; suru] production; manufacture // [n.] live birth
リーマンショック	リーマンショック,リーマン・ショック	[n.] economic downturn precipitated by the Lehman Brothers bankruptcy in 2008
女給	じょきゅう	[n.] waitress; hostess
美人	びじん	[n.] beautiful woman
対策	たいさく	[n.] measure; provision; step; countermeasure; counterplan; countermove
一覧	いちらん	[n.; suru] look; glance; sight; inspection // [n.] summary; list; table; catalog; catalogue
一般的	いっぱんてき	[adjn..] popular; typical; general
呼吸	こきゅう	[n.; suru; no-n.] breath; respiration // [n.] knack; trick; secret (of doing something)
困難	こんなん	[adjn..; n.] difficulty; distress
呼吸困難	こきゅうこんなん	[n.; no-n.] labored breathing; laboured breathing; dyspnea; dyspnoea
服用	ふくよう	[n.; suru] taking medicine; dosing
体験	たいけん	[n.; suru] personal experience; physical experience; one's own experience
自ら	みずから	[adv.; us. kana] naturally; as a matter of course // [n.] oneself // [adv.] for one's self; personally
思い込み	おもいこみ	[n.] wrong impression; subjective impression; assumption; prejudice
立場	たちば	[n.] standpoint; position; situation
決めつける	きめつける	[v1.; vt.] to fix upon (one-sidedly); to (ignore somebody's position and) arbitrarily decide something is the case // [n.] to scold; to take (a person) to task
心中	しんちゅう	[n.; suru] double suicide; lovers suicide // [n.] in one's heart; true motives; mind
察す	さっす	[v5su.; vt.] to guess; to sense; to presume; to judge // [n.] to sympathize with; to sympathise with
察する	さっする	[vsuruspec.; vt.] to guess; to sense; to presume; to judge // [n.] to sympathize with; to sympathise with
皇太子	こうたいし	[n.] crown prince
国王	こくおう	[n.; no-n.] king
希望	きぼう	[n.; suru] hope; wish; aspiration
資格	しかく	[n.] qualifications; requirements; capabilities
尊敬	そんけい	[n.; suru] respect; esteem; reverence; honour; honor
クーデター	クーデター,クーデタ,クー・デター,クー・デタ	[n.] coup d'état; coup
映画館	えいがかん	[n.] movie theatre; movie theater; cinema
北京	ペキン	[n.] Beijing; Peking
売り上げ	うりあげ	[n.] amount sold; sales; proceeds; takings; turnover
無形	むけい	[n.; no-n.] abstract; immaterial; moral; spiritual; intangible
文化遺産	ぶんかいさん	[n.] cultural heritage
屋台	やたい	[n.] cart (esp. a food cart); stall; stand // [n.] festival float; portable shrine dedicated to a god and shaped like a house; dancing platform // [n.] stage prop fashioned after a large building // [abbr.] framework (of a house, etc.) // [arch.] house (esp. a small and miserable house)
鉾	ほこ,とかり	[n.] long-handled Chinese spear; lance; pike // [n.] weapon; arms // [n.] grip of a bow
お祭り	おまつり	[n.; teineigo] festival; feast; carnival
飾り	かざり	[n.; sufn.] decoration
山車	やまぐるま,ヤマグルマ	[n.; us. kana] festival car (float) // [n.; us. kana] decorative portable shrine; float used in festivals // [n.; us. kana] wheel tree (Trochodendron araloides)
町	まち,ちょう	[n.] town; block; neighbourhood; neighborhood // [n.] street; road // [n.] 109.09 m // [n.] 0.99 hectares // [n.] downtown; main street
福岡県	ふくおかけん	[n.] Fukuoka prefecture (Kyushu)
博多祇園山笠	はかたぎおんやまかさ	[n.] festival held in July in Fukuoka City; Hakata Gion Yamakasa Festival (often just called Yamakasa Festival)
岐阜県	ぎふけん	[n.] Gifu prefecture (Chuubu area)
京都府	きょうとふ	[n.] Kyoto Prefecture
祇園祭	ぎおんまつり	[n.] Gion Festival (in Kyoto during the month of July, with high point on the 17th)
風流	ふうりゅう	[adjn..; n.] elegance; taste; refinement
和紙	わし	[n.] washi; Japanese paper
全部	ぜんぶ	[advn.; tempn.; no-n.] all; entire; whole; altogether
